"a" "f1" "Q" "f" "b" "mu0" "theta"
-0.157395618595745 80.3444056446526 4.84999355894063e-08 76.992914257986 6.92438707434694 2.47191752718513e-05 0.078
-0.183217488932098 80.0100849593038 2.81279171938195e-08 79.6292872357784 7.57894647575333 1.9734783810211e-05 0.082
-0.161109562951091 80.086169047742 3.96071431767269e-08 80.9497187559484 7.18096414839849 2.53610194773488e-05 0.079
-0.177862386046854 80.3233209091651 3.52145231665563e-08 80.2166880054701 7.14970296685329 1.75665478588935e-05 0.082
-0.190822268790204 80.0252985835982 2.94018809794738e-08 80.8374873906927 7.21599853257153 2.3052137410298e-05 0.08
-0.167231842678508 80.5322899305722 3.44452565098365e-08 81.4400763817774 7.267043375207 2.60921702059397e-05 0.079
-0.16633686506598 80.0153911781121 2.46932548958848e-08 79.7356564405408 6.97906709998713 1.49992837019766e-05 0.084
-0.16568892102188 80.1312792161788 2.5328741481827e-08 80.3150584454344 7.16207123835066 1.92130331053756e-05 0.082
-0.185882962918543 80.1455256034663 7.77394171460186e-08 80.2309651704363 7.15922819073192 2.85808332028614e-05 0.077
-0.167665399031534 79.9650227036296 5.45182464921568e-08 80.352496335352 7.12541190289842 4.37594721687173e-05 0.073
-0.194625973532387 80.1972572623797 3.39554573069602e-08 78.8511403901311 7.39292496269568 3.2278055841748e-05 0.077
-0.179518720613597 80.8174929120213 3.58703028333406e-08 80.914680257567 7.10827231086305 2.18220391841645e-05 0.08
-0.184369638483218 80.1158513346989 2.62040010634271e-08 76.7836630592394 7.31577467361414 1.81891554567362e-05 0.083
-0.174893367621073 80.5084964581923 5.53249187004467e-08 81.3081017407779 7.23519615507185 2.37170560371792e-05 0.078
-0.200975686842104 80.6302658434544 3.06711454774977e-08 81.275795537191 7.41401876326324 2.86518166307408e-05 0.078
-0.178117799714509 79.7292070114613 4.48262892290776e-08 77.5797277976766 7.19655600976389 3.12823247792346e-05 0.077
-0.161108735508502 79.7297305880114 3.37086839844814e-08 79.8500480962655 7.00770706776501 1.96098892062647e-05 0.081
-0.194991952110842 80.0615446258542 2.20593845427214e-08 77.8005204376228 7.33416183435649 1.57059707170609e-05 0.084
-0.188858827637486 80.0822114784928 2.70040606326822e-08 78.3037363486633 7.30366893095969 1.50337577232783e-05 0.084
-0.188467682468315 80.2190291837663 2.64111810363305e-08 81.7789776137668 7.53068694999858 1.41705263162041e-05 0.085
-0.163396783266336 80.2288229803432 3.56755257721961e-08 79.055782491008 7.0213755206467 1.90069390236807e-05 0.081
