"a" "f1" "Q" "f" "b" "mu0" "theta"
-0.0542308536441606 80.9955240867805 4.32566913011749e-08 80.9989386947531 5.01289032861416 2.02619663400501e-05 0.08
-0.0489717362664251 79.5424889790112 3.98692847260098e-08 82.0300612319524 5.02318052081344 1.87523258013951e-05 0.081
-0.0518995985515813 79.1175892951816 3.7186254904625e-08 79.2327319578882 5.00042438485899 1.25196482438139e-05 0.083
-0.0527622022360376 80.5606492513075 4.85073559953731e-08 79.0454510754998 5.00339127638785 1.9106863681243e-05 0.08
-0.0489156222238002 80.5946116235173 2.48337614355214e-08 80.3728622416823 5.02134104762443 1.26730653972598e-05 0.085
-0.0479826386496491 80.2370405816469 5.47642889864801e-08 80.382440094708 5.0226709796839 3.22306035812926e-05 0.076
-0.0492054304635868 79.3680447974295 3.46693828733624e-08 79.8350145722351 4.99605591536593 1.42884193327367e-05 0.083
-0.0478024498166341 79.5233010419805 2.79415700663873e-08 78.8421782514698 5.02511549978884 1.30650311026174e-05 0.085
-0.0497820734331198 79.6127150256268 4.89808229746801e-08 79.1850353658912 5.00707628201539 2.95630858334118e-05 0.076
-0.0518434676501228 80.0359007462006 3.66300514163864e-08 79.9563417188326 5.03771164302768 1.74585169437725e-05 0.081
-0.0542141202661885 79.8935286597758 3.95010415684834e-08 80.838703503656 4.99820100053668 1.8744161162634e-05 0.081
-0.0483936403825945 78.8449466262085 3.64281180192209e-08 81.0482260903987 5.01651778730671 1.16260024958232e-05 0.084
-0.054096955521145 79.9321709068117 6.72280559314461e-08 79.4132388013354 5.02498132769677 3.80987881968286e-05 0.074
-0.0528614388664262 79.8647507270587 3.51800995623953e-08 77.8803437711961 4.99216456387429 1.66984327816655e-05 0.082
-0.0511952431014916 79.6444864395172 4.3839006715626e-08 80.9534335939976 5.0203463968125 2.23772533458076e-05 0.079
-0.0496033632427912 79.7925913330108 4.74029845624363e-08 80.3543063861335 5.01749458627825 2.16028047919688e-05 0.079
-0.0506043103996143 79.9464036435001 2.18823848953618e-08 79.8068287377657 4.98306509142501 1.23178944661542e-05 0.085
-0.048192867134208 80.0960845789025 4.65024117209171e-08 79.8742531519225 5.00388433702646 2.03178159872277e-05 0.079
-0.0501448825491901 79.3904783719385 4.01242758121455e-08 79.487316646203 4.99178415971473 1.69702942906375e-05 0.082
-0.0499277645544286 79.7475740109376 5.69330091205418e-08 78.638266875599 5.00336259847142 2.3861137054646e-05 0.076
-0.0489353978110052 79.3334776907118 3.05586155548375e-08 80.5681439075887 5.02073644063073 1.13126649427106e-05 0.085
-0.0498951741078394 80.7865214141016 5.961427978235e-08 79.0577288748863 4.98960530428484 2.53047208885665e-05 0.077
